,summary,summary_detail,id,guidislink,links,link,published,published_parsed,title,title_detail
0,"(Bloomberg) -- Lina Khan, the antitrust crusader leading the Federal Trade Commission, suffered her first major defeat as Amazon.com Inc. closed its acquisition of movie studio Metro-Goldwyn-Mayer, underscoring the limits to Washington’s efforts to rein in the technology industry’s giants.Most Read from BloombergPutin Vows to Rid Russia of ‘Traitors’ While Waging Ukraine WarRichest Russian Built NYC Power Over Decades and Lost It in WeeksShock Waves From War in Ukraine Threaten to Swamp Sri Lank","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': '(Bloomberg) -- Lina Khan, the antitrust crusader leading the Federal Trade Commission, suffered her first major defeat as Amazon.com Inc. closed its acquisition of movie studio Metro-Goldwyn-Mayer, underscoring the limits to Washington’s efforts to rein in the technology industry’s giants.Most Read from BloombergPutin Vows to Rid Russia of ‘Traitors’ While Waging Ukraine WarRichest Russian Built NYC Power Over Decades and Lost It in WeeksShock Waves From War in Ukraine Threaten to Swamp Sri Lank'}",2f46cd15-4c49-3b8e-8df1-307933946343,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/amazon-ftc-nemesis-dealt-setback-214828619.html?.tsrc=rss'}]",https://finance.yahoo.com/news/amazon-ftc-nemesis-dealt-setback-214828619.html?.tsrc=rss,"Thu, 17 Mar 2022 21:48:28 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=17, tm_hour=21, tm_min=48, tm_sec=28, tm_wday=3, tm_yday=76, tm_isdst=0)",Amazon’s FTC Nemesis Is Dealt a Setback on MGM Deal -- for Now,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Amazon’s FTC Nemesis Is Dealt a Setback on MGM Deal -- for Now'}"
1,Yahoo Finance anchors Brad Smith and Rachelle Akuffo discuss Meta temporarily suspending Kanye West's Instagram account after he directed a racial slur towards comedian Trevor Noah.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': ""Yahoo Finance anchors Brad Smith and Rachelle Akuffo discuss Meta temporarily suspending Kanye West's Instagram account after he directed a racial slur towards comedian Trevor Noah.""}",ede7b2bc-809d-39d5-bab4-96c62f7fb1e4,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/meta-suspends-kanye-west-instagram-211213484.html?.tsrc=rss'}]",https://finance.yahoo.com/video/meta-suspends-kanye-west-instagram-211213484.html?.tsrc=rss,"Thu, 17 Mar 2022 21:12:13 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=17, tm_hour=21, tm_min=12, tm_sec=13, tm_wday=3, tm_yday=76, tm_isdst=0)",Meta suspends Kanye West from Instagram for racist slur towards comedian Trevor Noah,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Meta suspends Kanye West from Instagram for racist slur towards comedian Trevor Noah'}"
2,"Yahoo Finance reporter Emily McCormick discusses a new note out from Wedbush Analyst Dan Ives, who is pushing investors to buy oversold tech stocks like Apple.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Yahoo Finance reporter Emily McCormick discusses a new note out from Wedbush Analyst Dan Ives, who is pushing investors to buy oversold tech stocks like Apple.'}",6d494043-559a-33c4-a8ac-181299647e2f,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/why-one-analyst-pushing-buy-205209510.html?.tsrc=rss'}]",https://finance.yahoo.com/video/why-one-analyst-pushing-buy-205209510.html?.tsrc=rss,"Thu, 17 Mar 2022 20:52:09 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=17, tm_hour=20, tm_min=52, tm_sec=9, tm_wday=3, tm_yday=76, tm_isdst=0)",Why one analyst is pushing to buy ‘oversold tech stocks’ like Apple,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Why one analyst is pushing to buy ‘oversold tech stocks’ like Apple'}"
3,Yahoo Finance returns to a look at Warren Buffett's favorite stock market indicator amid a tough start to the year for investors.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': ""Yahoo Finance returns to a look at Warren Buffett's favorite stock market indicator amid a tough start to the year for investors.""}",7d503e40-3447-4f1d-8425-dfe66809ef1b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/heres-what-warren-buffetts-favorite-stock-market-indicator-is-saying-now-174656238.html?.tsrc=rss'}]",https://finance.yahoo.com/news/heres-what-warren-buffetts-favorite-stock-market-indicator-is-saying-now-174656238.html?.tsrc=rss,"Thu, 17 Mar 2022 17:46:56 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=17, tm_hour=17, tm_min=46, tm_sec=56, tm_wday=3, tm_yday=76, tm_isdst=0)",Here's what Warren Buffett's favorite stock market indicator is saying now,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': ""Here's what Warren Buffett's favorite stock market indicator is saying now""}"
4,"After a volatile start to the year, many technology stocks have become significantly cheaper — and it's time to start scooping up shares, according to at least one analyst.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': ""After a volatile start to the year, many technology stocks have become significantly cheaper — and it's time to start scooping up shares, according to at least one analyst.""}",82ecea4b-bf92-46e4-bccb-3d1627a1c979,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/buy-oversold-tech-stocks-especially-apple-analyst-171303333.html?.tsrc=rss'}]",https://finance.yahoo.com/news/buy-oversold-tech-stocks-especially-apple-analyst-171303333.html?.tsrc=rss,"Thu, 17 Mar 2022 17:13:03 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=17, tm_hour=17, tm_min=13, tm_sec=3, tm_wday=3, tm_yday=76, tm_isdst=0)","Buy ‘oversold tech stocks,’ especially Apple: Analyst","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Buy ‘oversold tech stocks,’ especially Apple: Analyst'}"
5,"It's been a few weeks since Meta Platforms  saw its stock slammed after disclosing massive spending on its metaverse initiatives.  Real Money Columnist Kevin Curran noted at the time that the disclosures from Mark Zuckerberg's company have implications for many other potential players in the virtual world.  ""After the newly renamed Meta Platforms posted a massive miss on earnings, driven by heavy investment in money losing metaverse efforts, there's good reason for investors bullish on the metaverse narrative to get nervous,"" Curran wrote on Real Money.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'It\'s been a few weeks since Meta Platforms  saw its stock slammed after disclosing massive spending on its metaverse initiatives.  Real Money Columnist Kevin Curran noted at the time that the disclosures from Mark Zuckerberg\'s company have implications for many other potential players in the virtual world.  ""After the newly renamed Meta Platforms posted a massive miss on earnings, driven by heavy investment in money losing metaverse efforts, there\'s good reason for investors bullish on the metaverse narrative to get nervous,"" Curran wrote on Real Money.'}",a9597483-38fb-3cb6-a674-14dfe83739a1,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/a9597483-38fb-3cb6-a674-14dfe83739a1/mark-zuckerberg-may-get.html?.tsrc=rss'}]",https://finance.yahoo.com/m/a9597483-38fb-3cb6-a674-14dfe83739a1/mark-zuckerberg-may-get.html?.tsrc=rss,"Thu, 17 Mar 2022 16:59:00 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=17, tm_hour=16, tm_min=59, tm_sec=0, tm_wday=3, tm_yday=76, tm_isdst=0)",Mark Zuckerberg May Get Leapfrogged Into the Metaverse,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Mark Zuckerberg May Get Leapfrogged Into the Metaverse'}"
6,Yahoo Finance's Julie Hyman breaks down leading business headlines today.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': ""Yahoo Finance's Julie Hyman breaks down leading business headlines today.""}",25cf9be7-a041-37e5-aaab-66f51474d49b,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/robinhood-prepares-stock-lending-program-144701566.html?.tsrc=rss'}]",https://finance.yahoo.com/video/robinhood-prepares-stock-lending-program-144701566.html?.tsrc=rss,"Thu, 17 Mar 2022 14:47:01 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=17, tm_hour=14, tm_min=47, tm_sec=1, tm_wday=3, tm_yday=76, tm_isdst=0)","Robinhood prepares stock lending program, Instagram bans Kanye, Tesla hikes Model Y price in China","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Robinhood prepares stock lending program, Instagram bans Kanye, Tesla hikes Model Y price in China'}"
7,Global Investment Strategist Simeon Hyman joins Yahoo Finance Live to discuss the outlook for stocks as the Fed raises interest rates and investing in the metaverse.,"{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Global Investment Strategist Simeon Hyman joins Yahoo Finance Live to discuss the outlook for stocks as the Fed raises interest rates and investing in the metaverse.'}",4b34f674-a330-3a1d-a78a-1ccf3da8e379,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/video/market-strategist-talks-stocks-investing-144648659.html?.tsrc=rss'}]",https://finance.yahoo.com/video/market-strategist-talks-stocks-investing-144648659.html?.tsrc=rss,"Thu, 17 Mar 2022 14:46:48 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=17, tm_hour=14, tm_min=46, tm_sec=48, tm_wday=3, tm_yday=76, tm_isdst=0)","Market strategist talks stocks, investing amid rising rates, and the metaverse ETF","{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Market strategist talks stocks, investing amid rising rates, and the metaverse ETF'}"
8,"Meta Platforms Inc on Thursday said it will build new tools to allow brands to prevent their ads from appearing next to unsuitable content on Facebook and Instagram, and will begin testing the tools later this year to launch in early 2023.  The social media company also said it selected advertising measurement firm Zefr as its partner to provide outside verification that ads appeared only next to suitable content.  The move is part of Meta's answer to longstanding demands from the advertising industry, which has advocated for brands to be given greater control over where their ads appear online.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': ""Meta Platforms Inc on Thursday said it will build new tools to allow brands to prevent their ads from appearing next to unsuitable content on Facebook and Instagram, and will begin testing the tools later this year to launch in early 2023.  The social media company also said it selected advertising measurement firm Zefr as its partner to provide outside verification that ads appeared only next to suitable content.  The move is part of Meta's answer to longstanding demands from the advertising industry, which has advocated for brands to be given greater control over where their ads appear online.""}",cb3913e7-4173-3f8d-b36f-8ca4c82c29cc,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/news/meta-test-content-tools-advertisers-140336729.html?.tsrc=rss'}]",https://finance.yahoo.com/news/meta-test-content-tools-advertisers-140336729.html?.tsrc=rss,"Thu, 17 Mar 2022 14:03:36 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=17, tm_hour=14, tm_min=3, tm_sec=36, tm_wday=3, tm_yday=76, tm_isdst=0)",Meta to test content tools for advertisers later this year,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Meta to test content tools for advertisers later this year'}"
9,"Advanced Micro Devices (NASDAQ: AMD) recently finalized its acquisition of Xilinx, and shares are down nearly 35% from recent all-time highs of $164.46. The stock market has been spooked so far in 2022 due to inflation, interest rates, and geopolitical risks.","{'type': 'text/html', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Advanced Micro Devices\xa0(NASDAQ: AMD) recently finalized its acquisition of Xilinx, and shares are down nearly 35% from recent all-time highs of $164.46. The stock market has been spooked so far in 2022 due to inflation, interest rates, and geopolitical risks.'}",7ced55b4-de7b-3ede-996f-da51e046500d,False,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://finance.yahoo.com/m/7ced55b4-de7b-3ede-996f-da51e046500d/is-amd-stock-a-buy-now%3F.html?.tsrc=rss'}]",https://finance.yahoo.com/m/7ced55b4-de7b-3ede-996f-da51e046500d/is-amd-stock-a-buy-now%3F.html?.tsrc=rss,"Thu, 17 Mar 2022 14:00:00 +0000","time.struct_time(tm_year=2022, tm_mon=3, tm_mday=17, tm_hour=14, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=76, tm_isdst=0)",Is AMD Stock a Buy Now?,"{'type': 'text/plain', 'language': None, 'base': 'https://feeds.finance.yahoo.com/rss/2.0/headline?s=FB&region=US&lang=en-US', 'value': 'Is AMD Stock a Buy Now?'}"
